      pad        channel             x         y
         1        16              -19.25    -19.25
         2        10              -19.25    -13.75
         3         9              -19.25     -8.25
         4        21              -19.25     -2.75
         5         6              -19.25      2.75
         6         2              -19.25      8.25
         7         1              -19.25     13.75
         8         0              -19.25     19.25
         9         7              -13.75    -19.25
        10        22              -13.75    -13.75
        11         3              -13.75     -8.25
        12        12              -13.75     -2.75
        13         5              -13.75      2.75
        14         8              -13.75      8.25
        15        24              -13.75     13.75
        16        14              -13.75     19.25
        17        19               -8.25    -19.25
        18        13               -8.25    -13.75
        19        15               -8.25     -8.25
        20        18               -8.25     -2.75
        21         4               -8.25      2.75
        22        11               -8.25      8.25
        23        17               -8.25     13.75
        24        26               -8.25     19.25
        25        25               -2.75    -19.25
        26        28               -2.75    -13.75
        27        27               -2.75     -8.25
        28        30               -2.75     -2.75
        29        20               -2.75      2.75
        30        23               -2.75      8.25
        31        29               -2.75     13.75
        32        34               -2.75     19.25
        33        31                2.75    -19.25
        34        32                2.75    -13.75
        35        33                2.75     -8.25
        36        36                2.75     -2.75
        37        40                2.75      2.75
        38        37                2.75      8.25
        39        43                2.75     13.75
        40        46                2.75     19.25
        41        35                8.25    -19.25
        42        41                8.25    -13.75
        43        45                8.25     -8.25
        44        48                8.25     -2.75
        45        42                8.25      2.75
        46        49                8.25      8.25
        47        52                8.25     13.75
        48        59                8.25     19.25
        49        38               13.75    -19.25
        50        44               13.75    -13.75
        51        50               13.75     -8.25
        52        54               13.75     -2.75
        53        58               13.75      2.75
        54        63               13.75      8.25
        55        55               13.75     13.75
        56        62               13.75     19.25
        57        47               19.25    -19.25
        58        53               19.25    -13.75
        59        60               19.25     -8.25
        60        39               19.25     -2.75
        61        56               19.25      2.75
        62        57               19.25      8.25
        63        51               19.25     13.75
        64        61               19.25     19.25

