#mip results PROTO15
#layer chip channel mpv empv widthmpv chi2ndf nentries
0 0 0 15 1.25182 23.7558 0 6782
0 0 1 15 0.866544 23.9212 0 34140
0 0 2 15 3.73673 32.3221 0 5048
0 0 4 15 2.51274 26.3584 0 5240
0 0 5 39.8727 3.41473 19.4174 0 1276
0 0 6 15 3.8607 29.4173 0 4327
0 0 9 15 2.78863 28.6306 0 5589
0 0 10 15 1.22208 28.0456 0 7748
0 0 11 43.9269 2.52526 17.9973 0 1373
0 0 12 32.4068 5.16472 20.5499 0 3628
0 0 13 15 3.82715 25.6867 0 6954
0 0 14 0 0 0 0 0
0 0 15 15 2.05478 31.597 0 14498
0 0 16 15 0.45278 8.89634 0 1760
0 0 17 41.9765 2.51555 18.3366 0 1284
0 0 18 15 1.90051 11.1195 0 1096
0 0 19 15.056 59.2415 30.3453 0 3583
0 0 20 40.5505 3.08072 19.3348 0 1271
0 0 21 15 2.71778 29.8358 0 4567
0 0 22 15 0.521841 21.242 0 25880
0 0 23 61.8082 1.54016 21.1225 0 2317
0 0 24 15 0.411161 19.5427 0 37879
0 0 25 15 0.627574 20.6275 0 8953
0 0 26 42.7403 1.93157 14.4834 0 1395
0 0 27 24.7906 13.2558 27.8008 0 4261
0 0 28 45.7981 2.61713 19.508 0 1272
0 0 29 66.8978 1.39745 18.8911 0 1391
0 0 30 36.6831 3.35705 19.483 0 1311
0 0 31 15 2.44837 24.331 0 21778
0 0 32 44.2167 2.94118 21.01 0 1302
0 0 33 39.2703 3.32984 22.6972 0 1231
0 0 34 73.9627 1.60582 20.1351 0 1455
0 0 35 46.0197 2.39631 19.6811 0 1286
0 0 36 44.4867 3.24084 24.1767 0 1362
0 0 37 67.171 1.55366 18.7301 0 1449
0 0 38 36.8407 4.60756 22.9045 0 1621
0 0 39 15 1.07727 23.859 0 14991
0 0 40 36.5689 4.85561 21.7134 0 2291
0 0 41 28.7079 9.91768 26.7565 0 2154
0 0 42 39.3644 3.08615 19.6358 0 1535
0 0 43 53.385 1.55887 16.68 0 2350
0 0 44 47.0802 2.38039 19.7176 0 1293
0 0 45 35.0314 5.16182 24.085 0 1567
0 0 46 43.9332 2.54935 19.2491 0 1385
0 0 47 15 3.97768 25.9946 0 2433
0 0 48 27.4018 8.33301 23.8622 0 2899
0 0 49 46.9722 2.03567 18.8477 0 2203
0 0 50 15 4.3378 28.4482 0 7963
0 0 51 15 3.39451 29.7356 0 12523
0 0 52 44.1607 2.98025 21.6025 0 1562
0 0 53 15 2.76894 28.5696 0 10707
0 0 54 43.9475 3.36348 20.5077 0 2713
0 0 55 15 3.77289 25.0933 0 3227
0 0 56 16.0186 71.9795 22.2827 0 12578
0 0 57 15 1.3345 24.4601 0 15864
0 0 58 29.8242 9.48718 21.0764 0 11378
0 0 59 15 1.01749 22.9219 0 24011
0 0 60 15 0.33214 18.3446 0 6629
0 0 61 15 1.13476 24.8207 0 17714
0 0 62 15 0.392212 19.9738 0 26604
0 0 63 35.9887 3.66951 20.2643 0 2105
0 1 0 67.8211 1.78766 19.9774 0 1419
0 1 1 67.0265 1.65898 20.9314 0 1433
0 1 2 46.9269 2.47397 24.2323 0 1670
0 1 3 48.7928 1.47986 22.3372 0 1832
0 1 4 72.2669 1.79007 18.6114 0 1457
0 1 5 59.3551 1.72423 20.7149 0 1527
0 1 6 46.6194 1.64497 22.7339 0 1691
0 1 7 45.6884 1.88503 19.6354 0 1864
0 1 8 38.1541 3.12941 23.4484 0 1744
0 1 9 65.2158 1.68744 19.9012 0 1424
0 1 10 53.2186 1.81529 25.3847 0 1681
0 1 11 52.6035 1.60117 17.6467 0 1697
0 1 12 64.8802 1.59579 19.3121 0 1458
0 1 13 48.949 1.699 23.731 0 1710
0 1 14 52.9911 1.50912 21.785 0 1533
0 1 15 59.9591 1.8572 22.8687 0 1641
0 1 16 46.4114 2.02683 21.0087 0 1928
0 1 17 55.9089 1.59179 21.0035 0 1548
0 1 18 32.6346 5.4523 30.3621 0 1974
0 1 19 45.7894 1.8455 23.832 0 1893
0 1 20 61.2093 2.20754 22.2587 0 1605
0 1 21 63.774 1.56675 19.1683 0 1377
0 1 22 52.4314 1.52514 22.2432 0 1672
0 1 23 63.8789 1.39694 17.4254 0 1478
0 1 24 48.2762 1.94352 25.4528 0 1682
0 1 25 15 0.98243 23.9603 0 2277
0 1 26 52.8557 1.71146 24.2151 0 1620
0 1 27 67.3279 1.8221 20.5464 0 1397
0 1 28 41.9587 3.15722 27.5291 0 1763
0 1 29 63.1827 1.50773 17.003 0 1512
0 1 30 60.9123 2.16471 20.5348 0 1553
0 1 31 32.4189 5.4251 29.1631 0 2193
0 1 32 30.6368 5.60826 28.8424 0 1767
0 1 33 54.5749 1.51816 19.3154 0 1615
0 1 34 57.4328 1.54466 18.4741 0 1606
