       chip      Chip#          x          y
          0          1     -67.05     -67.05
          1          2     -67.05     -23.05
          2          3     -23.05     -67.05
          3          4     -23.05     -23.05
          4          5      23.05     -67.05
          5          6      23.05     -23.05
          6          7      67.05     -67.05
          7          8      67.05     -23.05
          8          9     -67.05      23.05
          9         10     -67.05      67.05
         10         11     -23.05      23.05
         11         12     -23.05      67.05
         12         13      23.05      23.05
         13         14      23.05      67.05
         14         15      67.05      23.05
         15         16      67.05      67.05
