#mip results PROTO15
#layer chip channel mpv empv widthmpv chi2ndf nentries
0 0 0 70.402 1.38646 16.8338 0 1376
0 0 1 69.1217 1.57393 19.2771 0 1708
0 0 2 70.102 1.59049 17.0293 0 1355
0 0 4 69.4869 1.74225 21.211 0 1272
0 0 5 78.7844 1.71338 19.1314 0 1288
0 0 6 72.8227 1.69418 19.7179 0 1455
0 0 9 70.753 1.57954 17.9861 0 1456
0 0 10 70.7636 1.44216 17.2365 0 1499
0 0 11 76.9281 1.61137 18.5566 0 1268
0 0 12 74.8885 1.94371 19.9312 0 1383
0 0 13 71.3802 1.59953 17.9439 0 1319
0 0 14 0 0 15 0 11
0 0 15 63.9191 1.48252 18.6517 0 1429
0 0 16 45.4535 0.525624 4.94598 0 596
0 0 17 68.9149 1.48442 18.6016 0 1297
0 0 18 50.2777 0.630017 7.45997 0 913
0 0 19 74.5315 1.83723 21.4825 0 1400
0 0 20 74.0355 1.70318 19.0207 0 1172
0 0 21 76.9758 1.76315 20.3845 0 1454
0 0 22 68.9166 1.63599 16.9786 0 1609
0 0 23 77.8025 1.90947 19.0957 0 1312
0 0 24 64.9225 1.67579 17.3705 0 1734
0 0 25 67.9621 1.56202 20.1828 0 1435
0 0 26 68.1971 1.52063 18.2237 0 1300
0 0 27 70.9877 1.62862 19.2893 0 1316
0 0 28 79.4944 1.63985 19.3149 0 1277
0 0 29 66.6327 1.47352 18.6763 0 1275
0 0 30 68.4026 1.46039 18.0571 0 1370
0 0 31 65.7869 1.36488 16.9802 0 1585
0 0 32 76.0602 1.48724 16.9904 0 1256
0 0 33 72.0924 2.00593 18.1324 0 1260
0 0 34 72.6009 1.40779 13.5029 0 1335
0 0 35 78.5875 1.69297 20.6054 0 1202
0 0 36 79.6468 1.34724 11.8602 0 1208
0 0 37 68.2361 1.51138 17.6483 0 1379
0 0 38 74.8613 1.73171 20.7676 0 1348
0 0 39 67.0316 1.62255 16.4052 0 1359
0 0 40 71.9612 1.82406 19.7522 0 1337
0 0 41 74.4525 1.8507 20.3981 0 1232
0 0 42 76.6891 1.80293 20.4704 0 1309
0 0 43 68.3854 1.75123 18.4811 0 1358
0 0 44 75.299 1.60839 18.786 0 1138
0 0 45 70.1736 1.45456 17.7936 0 1089
0 0 46 68.7256 1.58396 15.5621 0 1348
0 0 47 71.5986 1.32426 16.2711 0 1315
0 0 48 68.5295 1.53513 18.8513 0 1317
0 0 49 75.8891 2.04285 24.183 0 1314
0 0 50 66.3404 1.69358 20.4471 0 1428
0 0 51 69.0558 1.67008 17.474 0 1472
0 0 52 71.1445 1.70955 16.5593 0 1356
0 0 53 73.0144 1.54356 18.6849 0 1431
0 0 54 72.5738 1.67091 19.6379 0 1354
0 0 55 71.497 1.67215 20.9599 0 1302
0 0 56 68.5449 1.64127 19.3745 0 1467
0 0 57 66.7601 1.64411 20.5956 0 1576
0 0 58 58.3283 2.4048 16.1753 0 1382
0 0 59 60.9504 1.32516 14.6674 0 1553
0 0 60 71.0484 1.81012 17.89 0 1365
0 0 61 58.532 1.80623 21.6653 0 1528
0 0 62 66.1389 1.53504 18.8903 0 1672
