#mip results dif_1_1_4
#chip channel mpv empv widthmpv chi2ndf nentries
0 0 56.1889 0.144095 4.78571 0.810982 10711
0 1 56.097 0.188758 4.54292 0.800212 6436
0 2 56.22 0.204697 4.52822 1.09582 5411
0 3 63.8927 0.218273 5.34413 1.18941 5327
0 4 58.8733 0.23059 4.8562 0.882579 4563
0 5 0 0 0 0 0
0 6 55.5508 0.226061 4.55423 0.795372 4762
0 7 0 0 0 0 0
0 8 57.3283 0.188598 4.79853 1.29585 6080
0 9 55.6809 0.222152 4.71263 0.794796 5034
0 10 62.9351 0.223582 4.78533 1.54611 4910
0 11 62.0088 0.221741 4.99671 1.10192 5179
0 12 64.2086 0.208041 5.266 1.19183 5917
0 13 57.4459 0.227418 5.24074 0.879098 4216
0 14 63.2708 0.156945 5.21816 1.05038 11076
0 15 57.6514 0.232652 4.75782 1.59403 4451
0 16 0 0 0 0 0
0 17 58.0455 0.194073 4.6275 1.12308 5841
0 18 63.9209 0.228608 4.94955 1.08384 5094
0 19 0 0 0 0 0
0 20 63.4209 0.247348 6.96368 1.33946 4580
0 21 63.2591 0.216541 5.17688 1.29896 5434
0 22 58.3074 0.210381 4.5187 1.20408 5090
0 23 63.6496 0.244692 5.95486 1.05718 5480
0 24 57.8804 0.186395 5.1334 1.19644 6832
0 25 0 0 0 0 0
0 26 57.9726 0.149372 5.00595 1.11372 9675
0 27 64.0048 0.261608 5.16084 1.02884 3957
0 28 58.6292 0.262188 4.44818 1.20511 3597
0 29 58.4457 0.206371 5.55658 0.752718 5807
0 30 58.6989 0.231813 5.36747 1.07606 4370
0 31 0 0 0 0 0
0 32 64.4365 0.235468 5.53795 0.951527 4511
0 33 59.1142 0.227089 4.77266 1.1141 4816
0 34 55.627 0.151999 4.54607 1.33205 10183
0 35 0 0 0 0 0
0 36 59.7324 0.215519 4.69471 1.24622 5252
0 37 0 0 0 0 0
0 38 0 0 0 0 0
0 39 56.7022 0.153994 4.32143 1.09023 9401
0 40 0 0 0 0 0
0 41 63.7305 0.237078 5.62402 1.41727 4325
0 42 59.1553 0.21863 5.2668 1.07394 5179
0 43 56.7115 0.166622 4.90637 0.986186 7724
0 44 57.5669 0.229018 4.96669 1.37849 4791
0 45 58.4345 0.223378 4.33009 1.01742 4624
0 46 56.4829 0.13846 4.6085 1.14017 11911
0 47 57.0197 0.207592 5.14916 1.07129 5066
0 48 58.6787 0.216742 5.54187 1.12522 5078
0 49 64.0775 0.203024 5.35329 1.07918 6745
0 50 58.8787 0.216025 5.36489 1.07601 4906
0 51 55.5524 0.141697 4.66588 0.95133 11157
0 52 56.8336 0.183591 4.55153 1.0846 6964
0 53 55.9886 0.155156 4.65117 1.67313 8224
0 54 58.6252 0.205276 4.69078 0.810967 5725
0 55 56.3137 0.168457 4.82689 0.863417 7313
0 56 57.5457 0.153147 4.89897 1.15274 9174
0 57 56.6946 0.143527 4.93874 1.35193 10436
0 58 59.0053 0.197151 5.36833 1.16148 6103
0 59 56.1707 0.140043 4.93159 0.984791 10965
0 60 56.647 0.163542 4.53327 0.870834 8635
0 61 55.5202 0.122296 4.81307 0.778478 14443
0 62 55.5879 0.151336 4.47376 0.841551 11047
0 63 57.3119 0.184733 5.27561 0.906949 6640
1 0 55.1393 0.151661 4.86227 1.07878 9865
1 1 56.2841 0.153688 5.07764 1.05742 9935
1 2 56.143 0.154694 4.80499 0.758175 10119
1 3 59.5975 0.215095 5.7414 0.847419 5459
1 4 57.6518 0.230197 4.96316 1.28842 4889
1 5 57.0838 0.199354 5.3164 1.12873 5858
1 6 56.0121 0.158869 4.91693 1.02462 8908
1 7 57.85 0.16183 5.07355 1.20251 9470
1 8 61.6392 0.21785 5.68645 1.12418 5904
1 9 61.7936 0.167099 5.24378 1.45478 9483
1 10 61.2784 0.158453 5.37475 0.980377 10834
1 11 54.851 0.215272 5.30113 0.889781 5577
1 12 56.9362 0.207575 5.39147 1.43318 5534
1 13 58.3934 0.191376 4.93057 0.940102 6742
1 14 53.7736 0.187911 4.89942 0.851773 6435
1 15 57.6578 0.232473 5.18636 0.81761 4878
1 16 57.1413 0.143954 4.90485 0.906249 12782
1 17 53.7291 0.227125 4.0713 0.88924 5520
1 18 57.0259 0.240042 5.18778 0.713926 4808
1 19 56.3521 0.17423 4.79058 1.30565 8903
1 20 55.9796 0.220935 5.04573 0.850426 5131
1 21 60.5392 0.181085 5.05983 0.953721 9263
1 22 56.5238 0.194074 4.99158 1.18804 7008
1 23 54.4001 0.198664 4.9774 1.41119 5894
1 24 53.0415 0.201311 4.42026 0.740386 5751
1 25 55.9086 0.152846 5.09272 0.887547 10640
1 26 52.9716 0.201459 4.90214 0.78333 5738
1 27 61.3703 0.233182 5.72959 1.23473 5344
1 28 57.1998 0.188081 5.37321 1.10754 7079
1 29 53.6352 0.204496 4.51779 1.15152 5923
1 30 56.535 0.216109 5.4474 1.00461 5354
1 31 55.9798 0.161736 5.25714 0.828279 9236
1 32 56.91 0.187919 5.26612 0.876905 6654
1 33 0 0 0 0 0
1 34 60.2667 0.203809 4.9238 0.862142 6278
1 35 60.3987 0.160543 5.24766 0.708975 11251
1 36 56.2492 0.245689 4.961 1.26063 4715
1 37 0 0 0 0 0
1 38 55.3195 0.133264 4.73541 0.93559 13575
1 39 60.1545 0.1898 4.94995 0.921968 7791
1 40 56.1133 0.226373 6.65909 1.42603 4939
1 41 0 0 0 0 0
1 42 0 0 0 0 0
1 43 0 0 0 0 0
1 44 0 0 0 0 0
1 45 0 0 0 0 0
1 46 0 0 0 0 0
1 47 0 0 0 0 0
1 48 0 0 0 0 0
1 49 0 0 0 0 0
1 50 0 0 0 0 0
1 51 0 0 0 0 0
1 52 0 0 0 0 0
1 53 0 0 0 0 0
1 54 58.7143 0.161876 4.68176 1.24736 8060
1 55 63.2196 0.190203 6.95427 2.67766 7266
1 56 57.9113 0.185189 4.74245 1.05409 6562
1 57 55.967 0.185041 4.24077 0.656918 6982
1 58 60.1883 0.180806 4.76615 0.995814 7238
1 59 63.4859 0.199013 5.58901 0.984512 6034
1 60 63.3371 0.182114 5.51647 0.887738 7702
1 61 63.7289 0.199234 4.88227 1.00236 6967
1 62 63.8473 0.190134 5.23718 1.03331 7020
1 63 63.8261 0.185867 5.08131 0.967856 7496
2 0 62.3021 0.0493605 0.361484 16.0211 13266
2 1 55.8189 0.159612 4.3527 1.08976 8441
2 2 61.8812 0.181365 5.19132 0.826613 7369
2 3 55.4848 0.209854 4.53465 1.26056 5094
2 4 58.2278 0.224297 5.18468 1.03742 4777
2 5 57.3374 0.210998 4.61807 1.00357 5381
2 6 62.4944 0.201351 5.13683 0.981423 6505
2 7 56.737 0.280823 5.02457 1.35428 2925
2 8 55.9303 0.186021 4.73498 1.36619 6222
2 9 55.4998 0.18045 4.7698 1.35172 6152
2 10 55.4053 0.185321 4.40588 1.27554 5953
2 11 56.0628 0.215726 5.13775 1.20975 5145
2 12 61.9255 0.200133 4.67551 1.0049 5799
2 13 55.3702 0.236797 4.21289 0.941197 4071
2 14 55.6713 0.143883 4.65073 0.973727 11451
2 15 56.7695 0.236766 4.48848 1.03253 4105
2 16 54.9845 0.252253 4.83938 1.15456 3429
2 17 56.3353 0.182728 4.77119 0.995338 6331
2 18 56.4378 0.220908 4.58328 1.21144 4660
2 19 56.4588 0.324751 4.44394 0.914976 2639
2 20 57.2051 0.206278 4.69454 1.07116 5379
2 21 56.1391 0.176768 4.64781 1.32404 6761
2 22 55.3969 0.209432 5.07278 1.13609 4869
2 23 56.5491 0.18103 4.4335 0.937533 6478
2 24 56.3848 0.188787 4.28637 1.20675 7256
2 25 54.9655 0.271464 6.00675 1.15363 2800
2 26 56.4754 0.14536 4.43155 1.19816 10946
2 27 56.6065 0.220217 4.478 1.07448 4702
2 28 55.8302 0.219122 4.86522 0.934063 4452
2 29 56.6687 0.17508 4.73506 1.12337 7447
2 30 57.9072 0.202498 5.40314 0.916902 5299
2 31 55.0086 0.282917 5.27956 0.947088 2687
2 32 56.4908 0.220797 6.24031 1.79073 4432
2 33 62.7329 0.24016 5.63642 0.839641 4761
2 34 56.1651 0.129717 4.63429 1.34926 12948
2 35 62.5946 0.340614 4.61202 1.03989 2802
2 36 56.8834 0.212733 4.99228 0.974317 5127
2 37 0 0 0 0 0
2 38 55.2583 0.256598 4.3459 1.22028 3564
2 39 55.6941 0.157918 4.42726 1.00334 8823
2 40 57.0328 0.214709 4.90563 0.994064 5264
2 41 56.1121 0.224474 4.61899 1.10607 4117
2 42 56.9154 0.21263 5.52125 1.04387 5112
2 43 56.287 0.176948 4.53306 1.06932 7555
2 44 56.6253 0.204513 4.88829 0.830687 5208
2 45 56.7818 0.216691 4.60096 0.605179 4391
2 46 55.9411 0.135425 5.03405 1.07306 12185
2 47 0 0 0 0 0
2 48 55.9998 0.212212 4.79897 1.44405 4938
2 49 56.4447 0.195358 4.79786 1.32363 5766
2 50 62.4919 0.215189 5.43353 1.45109 5586
2 51 57.4312 0.149476 4.81883 0.724672 10289
2 52 56.5536 0.181895 4.46822 1.16122 6587
2 53 52.906 0.160425 4.58053 1.01194 7775
2 54 57.238 0.2091 4.6961 0.796193 6016
2 55 57.1507 0.168674 4.93525 0.933506 7899
2 56 59.7238 0.171567 4.89333 1.53924 8268
2 57 57.4875 0.148992 4.93769 1.49266 9697
2 58 57.351 0.203264 5.13841 1.10551 6070
2 59 55.4506 0.134722 4.71503 0.79672 11250
2 60 55.6367 0.163683 4.63804 1.44549 8201
2 61 55.5873 0.120391 4.18998 0.932443 15617
2 62 56.4587 0.133888 4.5909 0.908234 12358
2 63 57.4091 0.184015 4.73953 1.65003 6685
3 0 58.9236 0.138554 5.01596 1.22516 12291
3 1 59.173 0.136267 4.81814 1.06788 11837
3 2 59.3287 0.143679 4.98726 0.804407 11949
3 3 65.6181 0.191827 5.35565 1.34648 7539
3 4 59.5236 0.209958 5.00226 1.05372 5964
3 5 59.7301 0.182618 5.49952 1.23603 7451
3 6 0 0 0 0 0
3 7 60.4612 0.135965 5.08718 1.30788 13605
3 8 0 0 0 0 0
3 9 59.4984 0.148264 5.07685 1.04079 10661
3 10 64.7899 0.144344 5.38922 1.33041 13447
3 11 59.1036 0.200508 5.41399 1.28928 6251
3 12 59.4352 0.183673 5.35718 0.805826 7171
3 13 60.1595 0.176549 5.21459 0.831736 8020
3 14 58.7983 0.158515 5.33796 0.855529 9102
3 15 60.1041 0.214778 4.65802 1.2751 5870
3 16 59.3395 0.117431 4.8219 1.22027 18147
3 17 58.4024 0.187896 4.81162 0.822421 6361
3 18 59.6681 0.204401 5.34526 1.13552 5688
3 19 60.5033 0.1454 5.11396 1.59622 11460
3 20 59.5443 0.207119 4.7989 0.937801 5924
3 21 59.3658 0.154862 4.99595 1.45778 10515
3 22 60.0762 0.158658 5.19275 1.03327 9697
3 23 59.6738 0.197208 4.94873 1.04703 6728
3 24 59.8806 0.171461 4.85301 1.30892 8077
3 25 60.0159 0.13991 4.92969 1.0462 12088
3 26 58.7074 0.173732 4.64624 1.8831 7507
3 27 65.3284 0.204979 5.25372 1.02952 6117
3 28 61.2023 0.172544 5.15305 1.21576 8308
3 29 58.3245 0.186148 4.89323 1.22025 6631
3 30 61.1115 0.215597 5.64503 0.786294 5756
