#mip results dif_1_1_5
#chip channel mpv empv widthmpv chi2ndf nentries
0 0 64.8132 0.172984 5.15916 1.36901 9807
0 1 65.6583 0.210932 5.75062 1.26005 7745
0 2 64.4127 0.225325 4.32166 1.38655 7922
0 3 64.0294 0.246108 5.31765 1.11533 4838
0 4 61.8963 0.236365 4.90896 1.11067 5112
0 5 0 0 0 0 0
0 6 64.602 0.266224 5.40462 1.14555 4514
0 7 65.7022 0.389704 4.11962 1.24895 4229
0 8 64.8313 0.226697 6.05446 1.12858 6428
0 9 64.7858 0.237714 5.17156 1.086 6555
0 10 65.041 0.265982 3.84893 1.14582 7807
0 11 64.973 0.229777 5.34784 1.14669 5523
0 12 64.5898 0.219572 4.96796 1.15243 6639
0 13 65.4402 0.329588 6.02769 1.06594 5663
0 14 64.7404 0.164691 5.78066 1.00307 11436
0 15 62.6214 0.241991 5.19916 1.23191 4897
0 16 0 0 0 0 0
0 17 67.306 0.117696 0.553693 3.19107 6753
0 18 66.2219 0.368103 4.22837 3.77285 7542
0 19 65.2992 0.494531 3.53398 1.35317 3668
0 20 66.8443 0.283407 5.24074 1.19069 5895
0 21 65.7813 0.212795 5.25241 0.978277 6708
0 22 66.5205 0.258605 4.53895 1.14013 6633
0 23 65.8227 0.23982 5.99173 0.929879 5737
0 24 66.2199 0.209525 5.16153 1.02382 7461
0 25 66.0079 0.562347 3.2571 1.08256 3390
0 26 66.249 0.168885 5.50455 1.53828 10817
0 27 67.059 0.330268 0.576171 26.0498 6559
0 28 66.3771 0.560128 4.84752 8.81846 5749
0 29 66.1342 0.242453 5.23351 1.57081 8155
0 30 66.6265 0.325631 3.91212 1.10038 6243
0 31 65.612 0.100047 0.266502 24.4348 4156
0 32 64.0325 0.260725 5.2163 1.44453 5367
0 33 62.0781 0.241762 4.72036 1.08732 5599
0 34 65.9593 0.167075 5.23872 1.16461 11245
0 35 65.1777 1.33631 0.827034 14.6711 3899
0 36 66.0675 0.355301 6.46737 1.56254 7171
0 37 0 0 0 0 0
0 38 67.1205 0.712019 8.48266 1.62862 4648
0 39 62.3548 0.170697 5.17541 1.07596 9585
0 40 0 0 0 0 0
0 41 63.0426 0.264679 5.36557 0.978994 4716
0 42 62.9715 0.23301 5.58961 1.09406 5508
0 43 66.0852 0.216652 5.28858 1.24973 8248
0 44 61.8874 0.225904 4.90917 1.46385 4851
0 45 65.8776 0.276853 4.16015 1.78022 6279
0 46 65.2459 0.166912 5.20645 1.12283 10198
0 47 60.3798 0.232693 5.17712 1.28549 5053
0 48 65.4838 0.2732 5.81191 0.933754 4277
0 49 65.7183 0.231288 5.16905 1.26582 6708
0 50 64.6899 0.24774 4.86308 1.5317 6141
0 51 65.7038 0.166064 5.48886 1.28678 11850
0 52 65.0186 0.23621 5.10652 1.01091 5639
0 53 64.1843 0.188054 5.71708 1.20841 8447
0 54 65.4583 0.240129 5.51408 0.952053 4835
0 55 61.8124 0.188413 5.06847 1.081 7592
0 56 65.4681 0.187273 5.22751 1.14957 7888
0 57 60.5986 0.16011 5.38061 1.00648 10516
0 58 65.0206 0.243149 5.40753 1.5182 5081
0 59 64.8965 0.181729 5.73124 0.849456 8863
0 60 60.5655 0.183295 4.8553 1.1247 7296
0 61 61.4825 0.145359 4.74914 1.38979 12135
0 62 64.9797 0.175725 5.74329 1.08771 9267
0 63 64.8389 0.244041 5.05545 1.12199 5522
1 0 67.0235 0.150132 6.14983 0.789912 14411
1 1 63.2989 0.14296 5.68231 1.17872 13509
1 2 62.7927 0.146267 6.10322 1.32979 13386
1 3 63.454 0.205472 6.10744 0.829824 7549
1 4 63.3923 0.219421 5.90374 1.18331 6766
1 5 66.4071 0.202643 6.35651 1.04088 8215
1 6 66.0686 0.161775 6.05276 1.26732 11996
1 7 61.645 0.146917 5.79756 0.822915 13309
1 8 66.027 0.201997 6.2326 1.11467 8360
1 9 63.3762 0.146995 5.52816 1.05974 12776
1 10 65.1645 0.149828 6.14421 0.91019 15123
1 11 66.0258 0.204858 6.19836 0.934772 7864
1 12 63.1689 0.200452 6.00453 0.96655 7467
1 13 63.6478 0.188037 6.03065 1.16847 8984
1 14 66.4484 0.176616 6.09024 1.05867 10423
1 15 65.8087 0.223664 5.92511 1.1556 6787
1 16 64.9469 0.123284 5.95007 0.82821 19607
1 17 61.7434 0.19357 5.62067 0.753559 7664
1 18 62.1406 0.219617 6.26543 1.15727 6591
1 19 62.2393 0.161079 6.15139 0.73054 12122
1 20 64.3186 0.223792 6.58238 1.0762 7041
1 21 65.6997 0.161424 6.01305 0.984968 12364
1 22 65.5855 0.1803 6.09925 1.09113 10167
1 23 61.4185 0.200569 6.09886 0.998429 7928
1 24 62.7271 0.187956 6.03792 0.95539 8327
1 25 62.2017 0.145854 5.98615 1.23916 13771
1 26 64.8183 0.195141 6.34332 1.12807 9025
1 27 62.854 0.205678 5.93416 1.16741 7113
1 28 64.6251 0.186901 6.06224 1.04332 9268
1 29 65.8887 0.190324 6.03477 1.22169 8216
1 30 65.9132 0.21983 6.75691 0.922771 7081
1 31 64.8853 0.163282 5.94635 1.01108 12730
1 32 64.5911 0.196241 6.51178 1.1281 8768
1 33 57.1761 0.192698 5.95294 1.08111 6630
1 34 65.1056 0.182489 6.43682 1.11025 9847
1 35 64.8931 0.145881 6.0917 0.958879 15223
1 36 64.6377 0.241043 6.62778 1.08035 6393
1 37 0 0 0 0 0
1 38 65.4768 0.138594 5.88141 0.740587 18056
1 39 63.742 0.17661 6.01896 0.998885 10112
1 40 65.5941 0.23001 6.89553 1.07789 6596
1 41 0 0 0 0 0
1 42 0 0 0 0 0
1 43 0 0 0 0 0
1 44 0 0 0 0 0
1 45 0 0 0 0 0
1 46 0 0 0 0 0
1 47 0 0 0 0 0
1 48 0 0 0 0 0
1 49 0 0 0 0 0
1 50 0 0 0 0 0
1 51 0 0 0 0 0
1 52 0 0 0 0 0
1 53 0 0 0 0 0
1 54 64.353 0.190875 5.70949 1.01518 7854
1 55 66.1908 0.201144 6.15424 0.819589 7275
1 56 66.1533 0.20968 5.85611 1.01047 6935
1 57 65.9718 0.205255 5.84689 1.01263 7703
1 58 67.9968 0.220308 5.65761 0.965728 7178
1 59 65.3088 0.221703 6.08446 0.9937 6747
1 60 60.2128 0.177991 5.64128 1.06534 8336
1 61 66.7462 0.196019 5.74563 1.05966 8063
1 62 65.3755 0.213696 6.03229 1.23939 7456
1 63 65.9201 0.20284 5.83935 1.18313 7435
2 0 64.5869 0.149295 5.38921 1.42982 15545
2 1 59.942 0.168513 5.26845 1.18919 9812
2 2 59.2623 0.188104 4.5175 1.56863 8618
2 3 63.4402 0.679497 3.40883 12.3481 8161
2 4 63.3252 0.260563 4.61119 1.63282 6408
2 5 58.8822 0.219064 5.09621 1.31358 6008
2 6 64.2255 0.210828 5.84821 1.24801 7840
2 7 58.1289 0.299943 5.09704 0.842301 3419
2 8 62.5039 0.215769 5.38327 1.0337 7373
2 9 63.8121 0.215101 5.80622 0.870816 7374
2 10 64.1569 0.212275 5.02804 0.969825 7647
2 11 63.8469 0.230605 5.5394 1.34179 6034
2 12 59.1788 0.218185 4.50871 1.19541 6466
2 13 64.5244 0.273429 4.8059 1.13876 5369
2 14 63.2646 0.1628 5.28853 1.34565 12153
2 15 66.5534 0.967587 9.53672 21.4814 6667
2 16 58.6514 0.292577 6.87119 1.92996 4014
2 17 63.8278 0.210595 4.8934 1.77423 7667
2 18 62.4114 0.25126 5.99942 1.29761 5497
2 19 57.3976 0.308335 4.2493 1.04756 3079
2 20 63.4592 0.260632 6.14714 1.48305 7251
2 21 64.4515 0.197885 5.6709 1.34516 8231
2 22 62.9875 0.243789 4.81043 0.960958 6491
2 23 59.3745 0.200792 6.87404 1.69903 6908
2 24 63.2827 0.193941 5.30244 1.30107 8694
2 25 63.6704 0.808782 0.797955 23.1827 4725
2 26 61.6662 0.157339 5.11474 1.26923 11890
2 27 58.6256 0.223218 4.75045 1.44468 6295
2 28 64.5934 0.264561 4.97438 0.863097 5625
2 29 63.3179 0.2017 5.76557 1.56278 9313
2 30 1.6156 7.25302e-05 0.000327093 35.7799 14802
2 31 58.6597 0.338765 4.40343 0.953404 3178
2 32 62.6844 0.364885 3.13856 8.53771 6348
2 33 63.4298 0.361378 5.54193 1.60052 6885
2 34 63.5785 0.147767 5.53777 1.24588 14062
2 35 92.702 12.0955 19.2903 35.6531 5105
2 36 58.9885 0.227126 5.12284 0.926063 5872
2 37 0 0 0 0 0
2 38 64.982 0.573939 5.18354 2.92612 5475
2 39 0 0 0 0 0
2 40 58.7772 0.225105 5.25434 0.998637 5862
2 41 61.5241 0.277122 5.23314 1.04807 3746
2 42 58.1355 0.222574 5.46517 1.11143 5978
2 43 59.0991 0.18494 5.50741 1.09049 7753
2 44 62.9723 0.233249 5.03128 1.32427 6207
2 45 58.3117 0.229853 4.66964 1.42944 5040
