#pedestal results (fit to a gaussian) remove channels/sca with two pedestals peaks from the analysis results_pedestal/gridpoints/Pedestal_dif_1_1_5.txtnew
#chip channel ped0 eped0 widthped0 ped1 eped1 widthped1... ped14 eped14 widhtped14 (all SCA)
0 0 304.37  0.0705282 3.24615 318.103  0.0824373 3.14745 310.079  0.0751123 3.07499 313.375  0.0802007 3.21241 309.025  0.0855546 3.30925 315.106  0.0872292 3.26595 309.023  0.0829513 3.12409 305.619  0.0875483 3.077 313.585  0.0939673 3.23374 313.83  0.0891484 3.01833 320.253  0.0973122 3.22331 308.948  0.0984958 3.21275 306.799  0.101126 3.19261 306.411  0.10162 2.87155 309.723  0.0912438 3.07936 
0 1 310.52  0.0658907 3.22577 321.107  0.0793902 3.20289 312.891  0.0765329 3.14972 319.291  0.0845884 3.33251 313.38  0.0830279 3.22357 314.565  0.085895 3.32476 311.57  0.0879061 3.16131 318.966  0.0832211 3.06711 317.512  0.0891202 3.08498 316.434  0.092183 3.07441 311.523  0.0968613 3.14575 312.69  0.0996078 3.15663 319.086  0.10524 2.94257 312.92  0.101838 3.12794 321.177  0.0928911 3.20733 
0 2 313.211  0.0669184 3.16728 326.153  0.0743298 3.07943 310.791  0.0747199 3.0051 323.91  0.0769967 3.15616 318.674  0.083111 3.2463 327.098  0.0823724 3.16854 328.32  0.0856403 3.17838 315.426  0.085709 3.06155 326.303  0.0895184 3.10276 320.117  0.090059 3.16423 320.501  0.0921246 3.03794 318.428  0.0988503 3.11193 321.399  0.0964562 2.96243 329.194  0.102511 3.11597 322.311  0.0937556 3.24422 
0 3 299.34  0.0690778 3.19348 318.017  0.0778981 3.1233 300.505  0.076342 3.0185 313.923  0.0788681 3.16006 314.356  0.0825009 3.19805 314.752  0.0823916 3.13936 312.495  0.0838008 3.06601 315.384  0.0870702 3.08163 312.38  0.0878644 3.03478 306.539  0.0893259 3.04845 310.616  0.0944412 2.89706 311.45  0.0914932 2.95742 312.876  0.0960068 3.08531 309.544  0.103313 3.06354 311.963  0.0879054 2.9079 
0 4 312.808  0.0661137 3.02609 325.797  0.0769066 3.11284 313.384  0.0729346 2.94958 317.123  0.0771353 3.1032 324.108  0.0812793 3.17275 314.219  0.080417 2.98598 312.933  0.0816979 2.96175 313.793  0.0825391 2.94959 318.383  0.0849939 2.98985 315.364  0.0827569 2.77467 315.383  0.0879638 2.85795 314.972  0.089874 2.8128 314.272  0.0937781 2.78494 324.862  0.101099 2.88061 310.49  0.0829045 2.88249 
0 5 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 6 307.14  0.0679084 3.18167 318.897  0.0825765 3.10587 306.593  0.0769192 3.03166 318.482  0.0816377 3.14095 309.062  0.0876699 3.34922 311.583  0.0829706 3.26314 319.02  0.0854632 3.18754 307.606  0.0912444 3.14521 315.873  0.0889883 3.07376 310.762  0.0886265 3.01189 307.834  0.0934487 3.01316 313.395  0.0963172 2.98442 303.441  0.0957726 2.89013 313.79  0.106478 2.9853 307.043  0.0881738 3.12304 
0 7 312.045  0.0645088 3.05074 328.044  0.0785402 3.13283 313.72  0.077439 3.0378 312.196  0.0789541 3.14749 317.051  0.0862517 3.29285 308.114  0.08134 3.08637 324.05  0.0811291 3.09406 315.749  0.0863467 3.152 318.756  0.087806 3.17 315.543  0.0899927 3.08027 317.845  0.094276 3.161 316.676  0.0966724 3.18365 315.368  0.0935628 2.94643 324.946  0.0972592 3.02781 316.576  0.0832735 2.84404 
0 8 309.261  0.0650218 2.97592 320.328  0.0747324 2.94071 300.635  0.0769006 3.06707 312.144  0.0774804 3.16807 311.91  0.0834924 3.24654 309.548  0.0820687 3.12767 308.329  0.0826728 3.01318 305.965  0.0831483 3.07121 316.847  0.085654 2.99898 312.138  0.0875727 3.10072 315.723  0.0900564 2.97608 299.889  0.0925735 3.07478 319.642  0.0976908 2.97845 311.738  0.101397 3.0192 313.128  0.0924408 3.09886 
0 9 307.986  0.0668214 3.10388 321.667  0.0769705 3.00446 311.404  0.080089 3.0501 319.041  0.077707 3.1361 305.077  0.0850121 3.28104 309.939  0.0793016 3.07697 321.011  0.0816508 3.09883 309.156  0.0866619 3.12587 313.827  0.0849185 2.99594 314.01  0.0908406 2.97436 309.143  0.091281 3.01022 313.243  0.0942843 3.01599 315.157  0.0989119 3.14069 311.904  0.110607 3.18 311.325  0.0864594 2.91841 
0 10 307.998  0.0694391 3.14796 328.923  0.0795169 3.15503 311.869  0.0782829 3.07914 317.275  0.0855266 3.33107 316.562  0.084127 3.36123 313.184  0.0885642 3.31068 317.232  0.0869103 3.19004 317.806  0.0838354 3.09731 317.011  0.0856531 3.10331 311.338  0.0974353 3.22635 312.787  0.093589 3.01557 306.273  0.0956632 3.14715 319.499  0.100357 3.07537 316.667  0.100058 2.99612 310.306  0.0936754 3.17076 
